Epoch: 66 - train loss: 1.80e-02 - valid loss: 1.81e-02, valid stoi: 4.90e-01
Epoch: 67 - train loss: 1.79e-02 - valid loss: 1.81e-02, valid stoi: 4.91e-01
Epoch: 68 - train loss: 1.78e-02 - valid loss: 1.80e-02, valid stoi: 4.91e-01
Epoch: 69 - train loss: 1.78e-02 - valid loss: 1.79e-02, valid stoi: 4.92e-01
Epoch: 70 - train loss: 1.77e-02 - valid loss: 1.79e-02, valid stoi: 4.92e-01
Epoch: 71 - train loss: 1.77e-02 - valid loss: 1.78e-02, valid stoi: 4.92e-01
Epoch: 72 - train loss: 1.76e-02 - valid loss: 1.78e-02, valid stoi: 4.93e-01
Epoch: 73 - train loss: 1.76e-02 - valid loss: 1.78e-02, valid stoi: 4.93e-01
Epoch: 74 - train loss: 1.75e-02 - valid loss: 1.77e-02, valid stoi: 4.94e-01
Epoch: 75 - train loss: 1.75e-02 - valid loss: 1.77e-02, valid stoi: 4.94e-01
Epoch: 76 - train loss: 1.74e-02 - valid loss: 1.76e-02, valid stoi: 4.94e-01
Epoch: 77 - train loss: 1.74e-02 - valid loss: 1.76e-02, valid stoi: 4.94e-01
Epoch: 78 - train loss: 1.73e-02 - valid loss: 1.75e-02, valid stoi: 4.95e-01
Epoch: 79 - train loss: 1.73e-02 - valid loss: 1.75e-02, valid stoi: 4.95e-01
Epoch: 80 - train loss: 1.72e-02 - valid loss: 1.74e-02, valid stoi: 4.95e-01
Epoch: 81 - train loss: 1.72e-02 - valid loss: 1.74e-02, valid stoi: 4.95e-01
Epoch: 82 - train loss: 1.71e-02 - valid loss: 1.73e-02, valid stoi: 4.96e-01
Epoch: 83 - train loss: 1.71e-02 - valid loss: 1.73e-02, valid stoi: 4.96e-01
Epoch: 84 - train loss: 1.70e-02 - valid loss: 1.72e-02, valid stoi: 4.96e-01
Epoch: 85 - train loss: 1.70e-02 - valid loss: 1.72e-02, valid stoi: 4.97e-01
Epoch: 86 - train loss: 1.70e-02 - valid loss: 1.72e-02, valid stoi: 4.97e-01
Epoch: 87 - train loss: 1.69e-02 - valid loss: 1.71e-02, valid stoi: 4.97e-01
Epoch: 88 - train loss: 1.69e-02 - valid loss: 1.71e-02, valid stoi: 4.97e-01
Epoch: 89 - train loss: 1.68e-02 - valid loss: 1.70e-02, valid stoi: 4.98e-01
Epoch: 90 - train loss: 1.68e-02 - valid loss: 1.70e-02, valid stoi: 4.98e-01
Epoch: 91 - train loss: 1.68e-02 - valid loss: 1.70e-02, valid stoi: 4.98e-01
Epoch: 92 - train loss: 1.67e-02 - valid loss: 1.69e-02, valid stoi: 4.98e-01
Epoch: 93 - train loss: 1.67e-02 - valid loss: 1.69e-02, valid stoi: 4.99e-01
Epoch: 94 - train loss: 1.66e-02 - valid loss: 1.68e-02, valid stoi: 4.99e-01
Epoch: 95 - train loss: 1.66e-02 - valid loss: 1.68e-02, valid stoi: 4.99e-01
Epoch: 96 - train loss: 1.66e-02 - valid loss: 1.68e-02, valid stoi: 4.99e-01
Epoch: 97 - train loss: 1.65e-02 - valid loss: 1.67e-02, valid stoi: 4.99e-01
Epoch: 98 - train loss: 1.65e-02 - valid loss: 1.67e-02, valid stoi: 5.00e-01
Epoch: 99 - train loss: 1.65e-02 - valid loss: 1.67e-02, valid stoi: 5.00e-01
Epoch: 100 - train loss: 1.64e-02 - valid loss: 1.66e-02, valid stoi: 5.00e-01
Epoch: 101 - train loss: 1.64e-02 - valid loss: 1.66e-02, valid stoi: 5.00e-01
Epoch: 102 - train loss: 1.64e-02 - valid loss: 1.66e-02, valid stoi: 5.00e-01
Epoch: 103 - train loss: 1.63e-02 - valid loss: 1.66e-02, valid stoi: 5.01e-01
Epoch: 104 - train loss: 1.63e-02 - valid loss: 1.65e-02, valid stoi: 5.01e-01
Epoch: 105 - train loss: 1.63e-02 - valid loss: 1.65e-02, valid stoi: 5.01e-01
Epoch: 106 - train loss: 1.63e-02 - valid loss: 1.65e-02, valid stoi: 5.01e-01
Epoch: 107 - train loss: 1.62e-02 - valid loss: 1.64e-02, valid stoi: 5.02e-01
Epoch: 108 - train loss: 1.62e-02 - valid loss: 1.64e-02, valid stoi: 5.02e-01
Epoch: 109 - train loss: 1.62e-02 - valid loss: 1.64e-02, valid stoi: 5.02e-01
Epoch: 110 - train loss: 1.61e-02 - valid loss: 1.64e-02, valid stoi: 5.02e-01
Epoch: 111 - train loss: 1.61e-02 - valid loss: 1.63e-02, valid stoi: 5.03e-01
Epoch: 112 - train loss: 1.61e-02 - valid loss: 1.63e-02, valid stoi: 5.03e-01
Epoch: 113 - train loss: 1.60e-02 - valid loss: 1.63e-02, valid stoi: 5.03e-01
Epoch: 114 - train loss: 1.60e-02 - valid loss: 1.62e-02, valid stoi: 5.03e-01
Epoch: 115 - train loss: 1.60e-02 - valid loss: 1.62e-02, valid stoi: 5.04e-01
Epoch: 116 - train loss: 1.60e-02 - valid loss: 1.62e-02, valid stoi: 5.04e-01
Epoch: 117 - train loss: 1.59e-02 - valid loss: 1.62e-02, valid stoi: 5.04e-01
Epoch: 118 - train loss: 1.59e-02 - valid loss: 1.61e-02, valid stoi: 5.04e-01
Epoch: 119 - train loss: 1.59e-02 - valid loss: 1.61e-02, valid stoi: 5.04e-01
Epoch: 120 - train loss: 1.58e-02 - valid loss: 1.61e-02, valid stoi: 5.04e-01
Epoch: 121 - train loss: 1.58e-02 - valid loss: 1.61e-02, valid stoi: 5.05e-01
Epoch: 122 - train loss: 1.58e-02 - valid loss: 1.60e-02, valid stoi: 5.05e-01
Epoch: 123 - train loss: 1.58e-02 - valid loss: 1.60e-02, valid stoi: 5.05e-01
Epoch: 124 - train loss: 1.57e-02 - valid loss: 1.60e-02, valid stoi: 5.05e-01
Epoch: 125 - train loss: 1.57e-02 - valid loss: 1.60e-02, valid stoi: 5.05e-01
Epoch: 126 - train loss: 1.57e-02 - valid loss: 1.59e-02, valid stoi: 5.06e-01
Epoch: 127 - train loss: 1.57e-02 - valid loss: 1.59e-02, valid stoi: 5.06e-01
Epoch: 128 - train loss: 1.57e-02 - valid loss: 1.59e-02, valid stoi: 5.06e-01
